Frame,Object_Count
1,1
2,5
3,5
4,2
5,2
6,2
7,9
8,3
9,1
10,1
11,2
12,8
13,4
14,2
15,1
16,3
17,6
18,4
19,4
20,3
21,4
22,4
23,4
24,5
25,4
26,5
27,6
28,5
29,5
30,5
31,5
32,5
33,6
34,6
35,5
36,5
37,7
38,7
39,7
40,6
41,6
42,6
43,7
44,5
45,6
46,6
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,6
56,7
57,8
58,8
59,8
60,7
61,8
62,9
63,8
64,9
65,9
66,9
67,8
68,9
69,10
70,9
71,8
72,10
73,8
74,9
75,10
76,13
77,10
78,9
79,9
80,8
81,8
82,8
83,9
84,8
85,9
86,8
87,9
88,8
89,8
90,8
91,9
92,9
93,8
94,8
95,10
96,10
97,9
98,10
99,10
100,10
101,9
102,8
103,7
104,7
105,8
106,8
107,7
108,7
109,6
110,7
111,7
112,7
113,7
114,6
115,6
116,6
117,7
118,6
119,6
120,7
121,7
122,8
123,7
124,7
125,9
126,6
127,8
128,7
129,7
130,6
131,7
132,6
133,6
134,6
135,6
136,6
137,6
138,7
139,6
140,7
141,7
142,7
143,7
144,7
145,7
146,10
147,7
148,7
149,7
150,7
151,8
152,9
153,10
154,9
155,9
156,9
157,9
158,8
159,10
160,10
161,10
162,11
163,9
164,8
165,7
166,8
167,8
168,12
169,10
170,11
171,11
172,11
173,11
174,11
175,9
176,9
177,8
178,8
179,8
180,7
181,7
182,7
183,8
184,7
185,7
186,7
187,7
188,7
189,8
190,8
191,8
192,8
193,9
194,9
195,9
196,9
197,9
198,11
199,9
200,10
201,10
202,11
203,9
204,9
205,9
206,9
207,8
208,9
209,9
210,10
211,7
212,9
213,8
214,9
215,8
216,7
217,7
218,7
219,9
220,12
221,11
222,10
223,11
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,10
233,8
234,9
235,11
236,9
237,9
238,6
239,6
240,6
241,5
242,6
243,6
244,6
245,7
246,8
247,8
248,8
249,10
250,9
251,7
252,9
253,8
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,6
274,7
275,6
276,6
277,7
278,8
279,10
280,10
281,10
282,9
283,9
284,9
285,9
286,8
287,8
288,8
289,8
290,8
291,9
292,8
293,10
294,11
295,10
296,10
297,10
298,9
299,9
300,9
301,9
302,9
303,9
304,9
305,10
306,9
307,9
308,9
309,10
310,9
311,10
312,10
313,13
314,11
315,11
316,11
317,13
318,12
319,12
320,13
321,13
322,13
323,10
324,11
325,10
326,10
327,12
328,11
329,11
330,11
331,10
332,10
333,9
334,9
335,9
336,10
337,10
338,11
339,12
340,13
341,14
342,11
343,11
344,13
345,11
346,12
347,13
348,12
349,13
350,12
351,14
352,12
353,12
354,13
355,11
356,13
357,12
358,12
359,12
360,12
361,14
362,14
363,16
364,18
365,17
366,15
367,18
368,18
369,19
370,16
371,15
372,15
373,17
374,18
375,18
376,16
377,17
378,15
379,17
380,17
381,17
382,18
383,19
384,15
385,18
386,18
387,14
388,16
389,16
390,17
391,14
392,15
393,12
394,13
395,17
396,19
397,17
398,15
399,18
400,20
401,21
402,18
403,17
404,19
405,20
406,20
407,21
408,18
409,20
410,21
411,21
412,19
413,19
414,23
415,21
416,21
417,19
418,19
419,21
420,19
421,22
422,20
423,21
424,21
425,20
426,19
427,18
428,18
429,19
430,19
431,19
432,17
433,15
434,16
435,17
436,17
437,19
438,19
439,18
440,15
441,17
442,17
443,17
444,17
445,15
446,16
447,17
448,14
449,14
450,13
451,16
452,16
453,16
454,15
455,17
456,16
457,15
458,14
459,15
460,16
461,16
462,16
463,17
464,15
465,13
466,15
467,13
468,14
469,14
470,15
471,13
472,13
473,15
474,12
475,14
476,13
477,13
478,14
479,13
480,12
481,12
482,13
483,13
484,11
485,9
486,9
487,9
488,8
489,9
490,11
491,11
492,12
493,12
494,10
495,11
496,11
497,11
498,11
499,11
500,11
501,11
502,10
503,11
504,11
505,11
506,10
507,11
508,10
509,11
510,11
511,11
512,12
513,10
514,9
515,10
516,10
517,11
518,11
519,9
520,11
521,12
522,9
523,10
524,13
525,9
526,9
527,9
528,9
529,9
530,9
531,10
532,10
533,10
534,9
535,8
536,9
537,8
538,10
539,9
540,9
541,7
542,8
543,8
544,7
545,7
546,9
547,9
548,9
549,7
550,9
551,9
552,11
553,11
554,12
555,11
556,12
557,10
558,12
559,11
560,13
561,13
562,10
563,10
564,10
565,9
566,10
567,9
568,8
569,11
570,12
571,11
572,11
573,13
574,13
575,12
576,12
577,12
578,13
579,13
580,14
581,13
582,9
583,12
584,11
585,13
586,15
587,14
588,14
589,12
590,15
591,14
592,11
593,15
594,14
595,14
596,13
597,11
598,12
599,13
600,13
601,13
602,12
603,11
604,11
605,11
606,13
607,12
608,9
609,11
610,12
611,12
612,13
613,12
614,11
615,13
616,10
617,11
618,10
619,11
620,11
621,13
622,13
623,11
624,12
625,13
626,12
627,11
628,12
629,10
630,13
631,12
632,12
633,11
634,10
635,10
636,10
637,10
638,10
639,9
640,9
641,9
642,10
643,9
644,9
645,11
646,12
647,13
648,12
649,14
650,12
651,12
652,13
653,13
654,12
655,11
656,12
657,10
658,10
659,9
660,11
661,9
662,11
663,10
664,10
665,10
666,10
667,11
668,12
669,10
670,12
671,10
672,9
673,10
674,8
675,8
676,9
677,9
678,9
679,10
680,11
681,12
682,11
683,10
684,11
685,10
686,11
687,12
688,12
689,10
690,10
691,12
692,11
693,12
694,10
695,11
696,11
697,11
698,11
699,11
700,10
701,10
702,10
703,9
704,10
705,10
706,10
707,10
708,10
709,8
710,8
711,8
712,8
713,9
714,9
715,8
716,10
717,11
718,10
719,11
720,11
721,10
722,10
723,11
724,10
725,12
726,12
727,12
728,13
729,12
730,11
731,11
732,11
733,10
734,13
735,12
736,11
737,11
738,12
739,10
740,12
741,10
742,10
743,10
744,11
745,11
746,10
747,10
748,10
749,9
750,10
751,11
752,12
753,11
754,11
755,11
756,11
757,11
758,10
759,9
760,9
761,8
762,8
763,8
764,8
765,8
766,8
767,9
768,7
769,8
770,10
771,10
772,8
773,8
774,8
775,8
776,9
777,9
778,8
779,8
780,8
781,9
782,8
783,8
784,8
785,8
786,8
787,9
788,10
789,11
790,12
791,10
792,9
793,9
794,12
795,11
796,11
797,10
798,9
799,8
800,8
801,11
802,9
803,10
804,11
805,12
806,11
807,10
808,10
809,11
810,10
811,10
812,11
813,11
814,12
815,13
816,13
817,9
818,10
819,10
820,11
821,10
822,11
823,13
824,10
825,11
826,11
827,10
828,12
829,10
830,11
831,11
832,11
833,11
834,11
835,11
836,9
837,10
838,9
839,9
840,9
841,10
842,8
843,9
844,9
845,11
846,9
847,9
848,7
849,6
850,6
851,5
852,5
853,5
854,6
855,5
856,5
857,5
858,4
859,5
860,5
861,4
862,5
863,5
864,4
865,4
866,6
867,5
868,5
869,6
870,6
871,6
872,5
873,5
874,6
875,5
876,5
877,6
878,6
879,5
880,5
881,5
882,5
883,4
884,6
885,5
886,5
887,6
888,5
889,4
890,5
891,6
892,7
893,7
894,7
895,6
896,7
897,6
898,7
899,6
900,4
901,5
902,5
903,5
904,6
905,6
906,6
907,6
908,6
909,6
910,6
911,6
912,6
913,6
914,6
915,6
916,6
917,6
918,6
919,6
920,6
921,6
922,6
923,6
924,6
925,5
926,6
927,8
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,8
938,7
939,7
940,7
941,7
942,6
943,6
944,6
945,6
946,6
947,6
948,6
949,7
950,7
951,6
952,6
953,7
954,6
955,6
956,7
957,8
958,9
959,8
960,8
961,8
962,9
963,9
964,9
965,9
966,9
967,10
968,9
969,9
970,8
971,8
972,9
973,10
974,10
975,8
976,10
977,9
978,8
979,8
980,9
981,8
982,9
983,8
984,8
985,7
986,6
987,6
988,7
989,7
990,9
991,8
992,9
993,9
994,8
995,7
996,9
997,8
998,9
999,9
1000,8
1001,8
1002,8
1003,8
1004,7
1005,8
1006,7
1007,8
1008,7
1009,7
1010,7
1011,8
1012,7
1013,8
1014,10
1015,10
1016,9
1017,9
1018,9
1019,10
1020,11
1021,11
1022,9
1023,8
1024,9
1025,10
1026,9
1027,9
1028,10
1029,10
1030,10
1031,10
1032,10
1033,9
1034,10
1035,10
1036,10
1037,10
1038,10
1039,10
1040,10
1041,10
1042,10
1043,11
1044,10
1045,11
1046,10
1047,10
1048,8
1049,7
1050,8
1051,9
1052,8
1053,7
1054,9
1055,8
1056,7
1057,10
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
